id,author,source,paragraph
1,mark_twain,mark_twain/huckkleberry_finn/chapter1.txt,CHAPTER I.
2,mark_twain,mark_twain/huckkleberry_finn/chapter1.txt,"You don’t know about me without you have read a book by the name of The
Adventures of Tom Sawyer; but that ain’t no matter. That book was made
by Mr. Mark Twain, and he told the truth, mainly. There was things
which he stretched, but mainly he told the truth. That is nothing. I
never seen anybody but lied one time or another, without it was Aunt
Polly, or the widow, or maybe Mary. Aunt Polly—Tom’s Aunt Polly, she
is—and Mary, and the Widow Douglas is all told about in that book,
which is mostly a true book, with some stretchers, as I said before."
3,mark_twain,mark_twain/huckkleberry_finn/chapter1.txt,"Now the way that the book winds up is this: Tom and me found the money
that the robbers hid in the cave, and it made us rich. We got six
thousand dollars apiece—all gold. It was an awful sight of money when
it was piled up. Well, Judge Thatcher he took it and put it out at
interest, and it fetched us a dollar a day apiece all the year
round—more than a body could tell what to do with. The Widow Douglas
she took me for her son, and allowed she would sivilize me; but it was
rough living in the house all the time, considering how dismal regular
and decent the widow was in all her ways; and so when I couldn’t stand
it no longer I lit out. I got into my old rags and my sugar-hogshead
again, and was free and satisfied. But Tom Sawyer he hunted me up and
said he was going to start a band of robbers, and I might join if I
would go back to the widow and be respectable. So I went back."
4,mark_twain,mark_twain/huckkleberry_finn/chapter1.txt,"The widow she cried over me, and called me a poor lost lamb, and she
called me a lot of other names, too, but she never meant no harm by it.
She put me in them new clothes again, and I couldn’t do nothing but
sweat and sweat, and feel all cramped up. Well, then, the old thing
commenced again. The widow rung a bell for supper, and you had to come
to time. When you got to the table you couldn’t go right to eating, but
you had to wait for the widow to tuck down her head and grumble a
little over the victuals, though there warn’t really anything the
matter with them,—that is, nothing only everything was cooked by
itself. In a barrel of odds and ends it is different; things get mixed
up, and the juice kind of swaps around, and the things go better."
5,mark_twain,mark_twain/huckkleberry_finn/chapter1.txt,"After supper she got out her book and learned me about Moses and the
Bulrushers, and I was in a sweat to find out all about him; but
by-and-by she let it out that Moses had been dead a considerable long
time; so then I didn’t care no more about him, because I don’t take no
stock in dead people."
6,mark_twain,mark_twain/huckkleberry_finn/chapter1.txt,"Pretty soon I wanted to smoke, and asked the widow to let me. But she
wouldn’t. She said it was a mean practice and wasn’t clean, and I must
try to not do it any more. That is just the way with some people. They
get down on a thing when they don’t know nothing about it. Here she was
a-bothering about Moses, which was no kin to her, and no use to
anybody, being gone, you see, yet finding a power of fault with me for
doing a thing that had some good in it. And she took snuff, too; of
course that was all right, because she done it herself."
7,mark_twain,mark_twain/huckkleberry_finn/chapter1.txt,"Her sister, Miss Watson, a tolerable slim old maid, with goggles on,
had just come to live with her, and took a set at me now with a
spelling-book. She worked me middling hard for about an hour, and then
the widow made her ease up. I couldn’t stood it much longer. Then for
an hour it was deadly dull, and I was fidgety. Miss Watson would say,
“Don’t put your feet up there, Huckleberry;” and “Don’t scrunch up like
that, Huckleberry—set up straight;” and pretty soon she would say,
“Don’t gap and stretch like that, Huckleberry—why don’t you try to
behave?” Then she told me all about the bad place, and I said I wished
I was there. She got mad then, but I didn’t mean no harm. All I wanted
was to go somewheres; all I wanted was a change, I warn’t particular.
She said it was wicked to say what I said; said she wouldn’t say it for
the whole world; she was going to live so as to go to the good place.
Well, I couldn’t see no advantage in going where she was going, so I
made up my mind I wouldn’t try for it. But I never said so, because it
would only make trouble, and wouldn’t do no good."
8,mark_twain,mark_twain/huckkleberry_finn/chapter1.txt,"Now she had got a start, and she went on and told me all about the good
place. She said all a body would have to do there was to go around all
day long with a harp and sing, forever and ever. So I didn’t think much
of it. But I never said so. I asked her if she reckoned Tom Sawyer
would go there, and she said not by a considerable sight. I was glad
about that, because I wanted him and me to be together."
9,mark_twain,mark_twain/huckkleberry_finn/chapter1.txt,"Miss Watson she kept pecking at me, and it got tiresome and lonesome.
By-and-by they fetched the niggers in and had prayers, and then
everybody was off to bed. I went up to my room with a piece of candle,
and put it on the table. Then I set down in a chair by the window and
tried to think of something cheerful, but it warn’t no use. I felt so
lonesome I most wished I was dead. The stars were shining, and the
leaves rustled in the woods ever so mournful; and I heard an owl, away
off, who-whooing about somebody that was dead, and a whippowill and a
dog crying about somebody that was going to die; and the wind was
trying to whisper something to me, and I couldn’t make out what it was,
and so it made the cold shivers run over me. Then away out in the woods
I heard that kind of a sound that a ghost makes when it wants to tell
about something that’s on its mind and can’t make itself understood,
and so can’t rest easy in its grave, and has to go about that way every
night grieving. I got so down-hearted and scared I did wish I had some
company. Pretty soon a spider went crawling up my shoulder, and I
flipped it off and it lit in the candle; and before I could budge it
was all shriveled up. I didn’t need anybody to tell me that that was an
awful bad sign and would fetch me some bad luck, so I was scared and
most shook the clothes off of me. I got up and turned around in my
tracks three times and crossed my breast every time; and then I tied up
a little lock of my hair with a thread to keep witches away. But I
hadn’t no confidence. You do that when you’ve lost a horseshoe that
you’ve found, instead of nailing it up over the door, but I hadn’t ever
heard anybody say it was any way to keep off bad luck when you’d killed
a spider."
10,mark_twain,mark_twain/huckkleberry_finn/chapter1.txt,"I set down again, a-shaking all over, and got out my pipe for a smoke;
for the house was all as still as death now, and so the widow wouldn’t
know. Well, after a long time I heard the clock away off in the town go
boom—boom—boom—twelve licks; and all still again—stiller than ever.
Pretty soon I heard a twig snap down in the dark amongst the
trees—something was a stirring. I set still and listened. Directly I
could just barely hear a “_me-yow! me-yow!_” down there. That was good!
Says I, “_me-yow! me-yow!_” as soft as I could, and then I put out the
light and scrambled out of the window on to the shed. Then I slipped
down to the ground and crawled in among the trees, and, sure enough,
there was Tom Sawyer waiting for me"
11,mark_twain,mark_twain/huckkleberry_finn/chapter10.txt,CHAPTER X.
12,mark_twain,mark_twain/huckkleberry_finn/chapter10.txt,"After breakfast I wanted to talk about the dead man and guess out how
he come to be killed, but Jim didn’t want to. He said it would fetch
bad luck; and besides, he said, he might come and ha’nt us; he said a
man that warn’t buried was more likely to go a-ha’nting around than one
that was planted and comfortable. That sounded pretty reasonable, so I
didn’t say no more; but I couldn’t keep from studying over it and
wishing I knowed who shot the man, and what they done it for."
13,mark_twain,mark_twain/huckkleberry_finn/chapter10.txt,"We rummaged the clothes we’d got, and found eight dollars in silver
sewed up in the lining of an old blanket overcoat. Jim said he reckoned
the people in that house stole the coat, because if they’d a knowed the
money was there they wouldn’t a left it. I said I reckoned they killed
him, too; but Jim didn’t want to talk about that. I says:"
14,mark_twain,mark_twain/huckkleberry_finn/chapter10.txt,"“Now you think it’s bad luck; but what did you say when I fetched in
the snake-skin that I found on the top of the ridge day before
yesterday? You said it was the worst bad luck in the world to touch a
snake-skin with my hands. Well, here’s your bad luck! We’ve raked in
all this truck and eight dollars besides. I wish we could have some bad
luck like this every day, Jim.”"
15,mark_twain,mark_twain/huckkleberry_finn/chapter10.txt,"“Never you mind, honey, never you mind. Don’t you git too peart. It’s
a-comin’. Mind I tell you, it’s a-comin’.”"
16,mark_twain,mark_twain/huckkleberry_finn/chapter10.txt,"It did come, too. It was a Tuesday that we had that talk. Well, after
dinner Friday we was laying around in the grass at the upper end of the
ridge, and got out of tobacco. I went to the cavern to get some, and
found a rattlesnake in there. I killed him, and curled him up on the
foot of Jim’s blanket, ever so natural, thinking there’d be some fun
when Jim found him there. Well, by night I forgot all about the snake,
and when Jim flung himself down on the blanket while I struck a light
the snake’s mate was there, and bit him."
17,mark_twain,mark_twain/huckkleberry_finn/chapter10.txt,"He jumped up yelling, and the first thing the light showed was the
varmint curled up and ready for another spring. I laid him out in a
second with a stick, and Jim grabbed pap’s whisky-jug and begun to pour
it down."
18,mark_twain,mark_twain/huckkleberry_finn/chapter10.txt,"He was barefooted, and the snake bit him right on the heel. That all
comes of my being such a fool as to not remember that wherever you
leave a dead snake its mate always comes there and curls around it. Jim
told me to chop off the snake’s head and throw it away, and then skin
the body and roast a piece of it. I done it, and he eat it and said it
would help cure him. He made me take off the rattles and tie them
around his wrist, too. He said that that would help. Then I slid out
quiet and throwed the snakes clear away amongst the bushes; for I
warn’t going to let Jim find out it was all my fault, not if I could
help it."
19,mark_twain,mark_twain/huckkleberry_finn/chapter10.txt,"Jim sucked and sucked at the jug, and now and then he got out of his
head and pitched around and yelled; but every time he come to himself
he went to sucking at the jug again. His foot swelled up pretty big,
and so did his leg; but by-and-by the drunk begun to come, and so I
judged he was all right; but I’d druther been bit with a snake than
pap’s whisky."
20,mark_twain,mark_twain/huckkleberry_finn/chapter10.txt,"Jim was laid up for four days and nights. Then the swelling was all
gone and he was around again. I made up my mind I wouldn’t ever take
a-holt of a snake-skin again with my hands, now that I see what had
come of it. Jim said he reckoned I would believe him next time. And he
said that handling a snake-skin was such awful bad luck that maybe we
hadn’t got to the end of it yet. He said he druther see the new moon
over his left shoulder as much as a thousand times than take up a
snake-skin in his hand. Well, I was getting to feel that way myself,
though I’ve always reckoned that looking at the new moon over your left
shoulder is one of the carelessest and foolishest things a body can do.
Old Hank Bunker done it once, and bragged about it; and in less than
two years he got drunk and fell off of the shot-tower, and spread
himself out so that he was just a kind of a layer, as you may say; and
they slid him edgeways between two barn doors for a coffin, and buried
him so, so they say, but I didn’t see it. Pap told me. But anyway it
all come of looking at the moon that way, like a fool."
21,mark_twain,mark_twain/huckkleberry_finn/chapter10.txt,"Well, the days went along, and the river went down between its banks
again; and about the first thing we done was to bait one of the big
hooks with a skinned rabbit and set it and catch a catfish that was as
big as a man, being six foot two inches long, and weighed over two
hundred pounds. We couldn’t handle him, of course; he would a flung us
into Illinois. We just set there and watched him rip and tear around
till he drownded. We found a brass button in his stomach and a round
ball, and lots of rubbage. We split the ball open with the hatchet, and
there was a spool in it. Jim said he’d had it there a long time, to
coat it over so and make a ball of it. It was as big a fish as was ever
catched in the Mississippi, I reckon. Jim said he hadn’t ever seen a
bigger one. He would a been worth a good deal over at the village. They
peddle out such a fish as that by the pound in the market-house there;
everybody buys some of him; his meat’s as white as snow and makes a
good fry."
22,mark_twain,mark_twain/huckkleberry_finn/chapter10.txt,"Next morning I said it was getting slow and dull, and I wanted to get a
stirring up some way. I said I reckoned I would slip over the river and
find out what was going on. Jim liked that notion; but he said I must
go in the dark and look sharp. Then he studied it over and said,
couldn’t I put on some of them old things and dress up like a girl?
That was a good notion, too. So we shortened up one of the calico
gowns, and I turned up my trouser-legs to my knees and got into it. Jim
hitched it behind with the hooks, and it was a fair fit. I put on the
sun-bonnet and tied it under my chin, and then for a body to look in
and see my face was like looking down a joint of stove-pipe. Jim said
nobody would know me, even in the daytime, hardly. I practiced around
all day to get the hang of the things, and by-and-by I could do pretty
well in them, only Jim said I didn’t walk like a girl; and he said I
must quit pulling up my gown to get at my britches-pocket. I took
notice, and done better."
23,mark_twain,mark_twain/huckkleberry_finn/chapter10.txt,I started up the Illinois shore in the canoe just after dark.
24,mark_twain,mark_twain/huckkleberry_finn/chapter10.txt,"I started across to the town from a little below the ferry-landing, and
the drift of the current fetched me in at the bottom of the town. I
tied up and started along the bank. There was a light burning in a
little shanty that hadn’t been lived in for a long time, and I wondered
who had took up quarters there. I slipped up and peeped in at the
window. There was a woman about forty year old in there knitting by a
candle that was on a pine table. I didn’t know her face; she was a
stranger, for you couldn’t start a face in that town that I didn’t
know. Now this was lucky, because I was weakening; I was getting afraid
I had come; people might know my voice and find me out. But if this
woman had been in such a little town two days she could tell me all I
wanted to know; so I knocked at the door, and made up my mind I
wouldn’t forget I was a girl."
25,mark_twain,mark_twain/huckkleberry_finn/chapter2.txt,CHAPTER II.
26,mark_twain,mark_twain/huckkleberry_finn/chapter2.txt,"We went tiptoeing along a path amongst the trees back towards the end
of the widow’s garden, stooping down so as the branches wouldn’t scrape
our heads. When we was passing by the kitchen I fell over a root and
made a noise. We scrouched down and laid still. Miss Watson’s big
nigger, named Jim, was setting in the kitchen door; we could see him
pretty clear, because there was a light behind him. He got up and
stretched his neck out about a minute, listening. Then he says:"
27,mark_twain,mark_twain/huckkleberry_finn/chapter2.txt,“Who dah?”
